Name,school_year,Ethnicity,CumulativeEnrollment,UnduplicatedCountofStudentsSuspended,black_susp_rate
American Indian Public High,2017-18,African American,81,8,0.0987654320987654
American Indian Public Charter II,2017-18,African American,196,9,0.0459183673469388
American Indian Public Charter,2017-18,African American,37,5,0.135135135135135
Aspire Berkley Maynard Academy,2017-18,African American,318,29,0.0911949685534591
Aspire College Academy,2017-18,African American,57,2,0.0350877192982456
Aspire ERES Academy,2017-18,African American,12,6,0.5
Aspire Golden State College Preparatory Academy,2017-18,African American,95,12,0.126315789473684
Aspire Lionel Wilson College Preparatory Academy,2017-18,African American,21,4,0.19047619047619
Aspire Monarch Academy,2017-18,African American,14,0,0.0
Aspire Triumph Technology Academy,2017-18,African American,177,20,0.112994350282486
Bella Vista Elementary,2017-18,African American,99,3,0.0303030303030303
Bret Harte Middle,2017-18,African American,215,26,0.12093023255814
Bridges Academy,2017-18,African American,28,3,0.107142857142857
Brookfield Elementary,2017-18,African American,92,13,0.141304347826087
Burckhalter Elementary,2017-18,African American,217,3,0.0138248847926267
Carl B. Munck Elementary,2017-18,African American,156,2,0.0128205128205128
Castlemont High,2017-18,African American,277,40,0.144404332129964
Chabot Elementary,2017-18,African American,53,0,0.0
Claremont Middle,2017-18,African American,165,12,0.0727272727272727
Cleveland Elementary,2017-18,African American,75,1,0.0133333333333333
Coliseum College Prep Academy,2017-18,African American,65,4,0.0615384615384615
Community Day High,2017-18,African American,14,5,0.357142857142857
Community Day Middle,2017-18,African American,17,11,0.647058823529412
Community United Elementary,2017-18,African American,89,14,0.157303370786517
Crocker Highlands Elementary,2017-18,African American,38,0,0.0
Dewey Academy,2017-18,African American,155,2,0.0129032258064516
Downtown Charter Academy,2017-18,African American,22,0,0.0
East Bay Innovation Academy,2017-18,African American,95,1,0.0105263157894737
East Oakland Pride Elementary,2017-18,African American,92,1,0.0108695652173913
Edna Brewer Middle,2017-18,African American,219,14,0.0639269406392694
Emerson Elementary,2017-18,African American,171,14,0.0818713450292398
EnCompass Academy Elementary,2017-18,African American,61,2,0.0327868852459016
Epic Charter,2017-18,African American,52,17,0.326923076923077
Francophone Charter School of Oakland,2017-18,African American,36,0,0.0
Franklin Elementary,2017-18,African American,112,9,0.0803571428571429
Fred T. Korematsu Discovery Academy,2017-18,African American,62,5,0.0806451612903226
Fremont High,2017-18,African American,189,44,0.232804232804233
Frick Middle,2017-18,African American,123,24,0.195121951219512
Fruitvale Elementary,2017-18,African American,105,4,0.0380952380952381
Futures Elementary,2017-18,African American,172,15,0.0872093023255814
Garfield Elementary,2017-18,African American,120,10,0.0833333333333333
Gateway to College at Laney College,2017-18,African American,40,0,0.0
Glenview Elementary,2017-18,African American,101,4,0.0396039603960396
Global Family,2017-18,African American,16,0,0.0
Grass Valley Elementary,2017-18,African American,192,7,0.0364583333333333
Greenleaf Elementary,2017-18,African American,68,0,0.0
Hillcrest Elementary,2017-18,African American,28,0,0.0
Hoover Elementary,2017-18,African American,137,6,0.0437956204379562
Horace Mann Elementary,2017-18,African American,114,16,0.140350877192982
Howard Elementary,2017-18,African American,150,0,0.0
